block_id	chrom	core_start0	core_end0	core_start1	core_end1	guard_start0	guard_end0	guard_start1	guard_end1	split	coordinate_contract	block_source
DEV_22_0000	22	0	5000000	1	5000000	0	5000000	1	5000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0001	22	5000000	10000000	5000001	10000000	5000000	10000000	5000001	10000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0002	22	10000000	15000000	10000001	15000000	10000000	15000000	10000001	15000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0003	22	15000000	20000000	15000001	20000000	15000000	20000000	15000001	20000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0004	22	20000000	25000000	20000001	25000000	19000000	26000000	19000001	26000000	test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0005	22	25000000	30000000	25000001	30000000	25000000	30000000	25000001	30000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0006	22	30000000	35000000	30000001	35000000	29000000	36000000	29000001	36000000	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0007	22	35000000	40000000	35000001	40000000	35000000	40000000	35000001	40000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0008	22	40000000	45000000	40000001	45000000	39000000	46000000	39000001	46000000	test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0009	22	45000000	50000000	45000001	50000000	45000000	50000000	45000001	50000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0010	22	50000000	51304566	50000001	51304566	49000000	52304566	49000001	52304566	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
